"ID","C1","C2","C3","C4","C5","C6","C7","C8"
1,221,226,225,222,1,6,5,2
2,221,223,227,226,1,3,7,6
3,224,222,225,229,4,2,5,9
4,228,230,227,223,8,10,7,3
5,225,226,231,229,5,6,11,9
6,227,230,231,226,7,10,11,6
7,232,237,236,233,12,17,16,13
8,232,234,238,237,12,14,18,17
9,235,233,236,240,15,13,16,20
10,239,241,238,234,19,21,18,14
11,236,237,242,240,16,17,22,20
12,238,241,242,237,18,21,22,17
13,243,248,247,244,23,28,27,24
14,243,245,249,248,23,25,29,28
15,246,244,247,251,26,24,27,31
16,250,252,249,245,30,32,29,25
17,247,248,253,251,27,28,33,31
18,249,252,253,248,29,32,33,28
19,254,259,258,255,34,39,38,35
20,254,256,260,259,34,36,40,39
21,257,255,258,262,37,35,38,42
22,261,263,260,256,41,43,40,36
23,258,259,264,262,38,39,44,42
24,260,263,264,259,40,43,44,39
25,265,270,269,266,45,50,49,46
26,265,267,271,270,45,47,51,50
27,268,266,269,273,48,46,49,53
28,272,274,271,267,52,54,51,47
29,269,270,275,273,49,50,55,53
30,271,274,275,270,51,54,55,50
31,276,281,280,277,56,61,60,57
32,276,278,282,281,56,58,62,61
33,279,277,280,284,59,57,60,64
34,283,285,282,278,63,65,62,58
35,280,281,286,284,60,61,66,64
36,282,285,286,281,62,65,66,61
37,287,292,291,288,67,72,71,68
38,287,289,293,292,67,69,73,72
39,290,288,291,295,70,68,71,75
40,294,296,293,289,74,76,73,69
41,291,292,297,295,71,72,77,75
42,293,296,297,292,73,76,77,72
43,298,303,302,299,78,83,82,79
44,298,300,304,303,78,80,84,83
45,301,299,302,306,81,79,82,86
46,305,307,304,300,85,87,84,80
47,302,303,308,306,82,83,88,86
48,304,307,308,303,84,87,88,83
49,309,314,313,310,89,94,93,90
50,309,311,315,314,89,91,95,94
51,312,310,313,317,92,90,93,97
52,316,318,315,311,96,98,95,91
53,313,314,319,317,93,94,99,97
54,315,318,319,314,95,98,99,94
55,320,325,324,321,100,105,104,101
56,320,322,326,325,100,102,106,105
