"ID","X-Def","Y-Def","Z-Def"
1,1.6,2.,0.
2,1.717157,1.717157,1.776357E-15
3,1.717157,2.282843,-8.881784E-15
4,2.,1.6,0.
5,2.,1.811438,5.329071E-15
6,2.,2.,0.
7,2.,2.188562,-7.105427E-15
8,2.,2.4,5.329071E-15
9,2.282843,1.717157,1.776357E-15
10,2.282843,2.282843,-8.881784E-15
11,2.4,2.,0.
12,5.6,2.,0.
13,5.717157,1.717157,1.776357E-15
14,5.717157,2.282843,-8.881784E-15
15,6.,1.6,0.
16,6.,1.811438,5.329071E-15
17,6.,2.,0.
18,6.,2.188562,-7.105427E-15
19,6.,2.4,5.329071E-15
20,6.282843,1.717157,1.776357E-15
21,6.282843,2.282843,-8.881784E-15
22,6.4,2.,0.
23,9.6,2.,0.
24,9.717157,1.717157,1.776357E-15
25,9.717157,2.282843,0.
26,10.,1.6,0.
27,10.,1.811438,-4.440892E-15
28,10.,2.,0.
29,10.,2.188562,2.664535E-15
30,10.,2.4,5.329071E-15
31,10.28284,1.717157,1.776357E-15
32,10.28284,2.282843,0.
33,10.4,2.,0.
34,13.6,2.,0.
35,13.71716,1.717157,1.776357E-15
36,13.71716,2.282843,0.
37,14.,1.6,0.
38,14.,1.811438,-4.440892E-15
39,14.,2.,0.
40,14.,2.188562,2.664535E-15
41,14.,2.4,5.329071E-15
42,14.28284,1.717157,1.776357E-15
43,14.28284,2.282843,0.
44,14.4,2.,0.
45,17.6,2.,-5.329071E-15
46,17.71716,1.717157,1.776357E-15
47,17.71716,2.282843,0.
48,18.,1.6,0.
49,18.,1.811438,5.329071E-15
50,18.,2.,0.
51,18.,2.188562,-7.105427E-15
52,18.,2.4,0.
53,18.28284,1.717157,1.776357E-15
54,18.28284,2.282843,0.
55,18.4,2.,0.
56,21.6,2.,0.
57,21.71716,1.717157,1.776357E-15
58,21.71716,2.282843,0.
59,22.,1.6,0.
60,22.,1.811438,0.
61,22.,2.,0.
62,22.,2.188562,-1.776357E-15
63,22.,2.4,0.
64,22.28284,1.717157,1.776357E-15
65,22.28284,2.282843,0.
66,22.4,2.,0.
67,25.6,2.,0.
68,25.71716,1.717157,0.
69,25.71716,2.282843,-1.776357E-15
70,26.,1.6,0.
71,26.,1.811438,-1.776357E-15
72,26.,2.,0.
73,26.,2.188562,0.
74,26.,2.4,0.
75,26.28284,1.717157,0.
76,26.28284,2.282843,-1.776357E-15
77,26.4,2.,0.
78,29.6,2.,0.
79,29.71716,1.717157,0.
80,29.71716,2.282843,0.
81,30.,1.6,0.
82,30.,1.811438,0.
83,30.,2.,0.
84,30.,2.188562,0.
85,30.,2.4,0.
86,30.28284,1.717157,0.
87,30.28284,2.282843,0.
88,30.4,2.,0.
89,33.6,2.,0.
90,33.71716,1.717157,0.
91,33.71716,2.282843,0.
92,34.,1.6,0.
93,34.,1.811438,0.
94,34.,2.,0.
95,34.,2.188562,0.
96,34.,2.4,0.
97,34.28284,1.717157,0.
98,34.28284,2.282843,0.
99,34.4,2.,0.
100,37.6,2.,0.
101,37.71716,1.717157,0.
102,37.71716,2.282843,0.
103,38.,1.6,0.
104,38.,1.811438,0.
105,38.,2.,0.
106,38.,2.188562,0.
107,38.,2.4,0.
108,38.28284,1.717157,0.
109,38.28284,2.282843,0.
110,38.4,2.,0.
111,41.6,2.,0.
112,41.71716,1.717157,0.
113,41.71716,2.282843,0.
114,42.,1.6,0.
115,42.,1.811438,0.
116,42.,2.,0.
117,42.,2.188562,0.
118,42.,2.4,0.
119,42.28284,1.717157,0.
120,42.28284,2.282843,0.
121,42.4,2.,0.
122,45.6,2.,0.
123,45.71716,1.717157,0.
124,45.71716,2.282843,0.
125,46.,1.6,0.
126,46.,1.811438,0.
127,46.,2.,0.
128,46.,2.188562,0.
129,46.,2.4,0.
130,46.28284,1.717157,0.
131,46.28284,2.282843,0.
132,46.4,2.,0.
133,49.6,2.,0.
134,49.71716,1.717157,0.
135,49.71716,2.282843,0.
136,50.,1.6,0.
137,50.,1.811438,0.
138,50.,2.,0.
139,50.,2.188562,0.
140,50.,2.4,0.
141,50.28284,1.717157,0.
142,50.28284,2.282843,0.
143,50.4,2.,0.
144,53.6,2.,0.
145,53.71716,1.717157,0.
146,53.71716,2.282843,-1.776357E-15
147,54.,1.6,0.
148,54.,1.811438,-1.776357E-15
149,54.,2.,0.
150,54.,2.188562,0.
151,54.,2.4,0.
152,54.28284,1.717157,0.
153,54.28284,2.282843,-1.776357E-15
154,54.4,2.,0.
155,57.6,2.,0.
156,57.71716,1.717157,1.776357E-15
157,57.71716,2.282843,0.
158,58.,1.6,0.
159,58.,1.811438,0.
160,58.,2.,0.
161,58.,2.188562,-1.776357E-15
162,58.,2.4,0.
163,58.28284,1.717157,1.776357E-15
164,58.28284,2.282843,0.
165,58.4,2.,0.
166,61.6,2.,0.
167,61.71716,1.717157,1.776357E-15
168,61.71716,2.282843,0.
169,62.,1.6,0.
170,62.,1.811438,5.329071E-15
171,62.,2.,0.
172,62.,2.188562,-7.105427E-15
173,62.,2.4,0.
174,62.28284,1.717157,1.776357E-15
