"ID","C1","C2","C3","C4","C5","C6","C7","C8"
1,89,94,93,90,1,6,5,2
2,89,91,95,94,1,3,7,6
3,92,90,93,97,4,2,5,9
4,96,98,95,91,8,10,7,3
5,93,94,99,97,5,6,11,9
6,95,98,99,94,7,10,11,6
7,100,105,104,101,12,17,16,13
8,100,102,106,105,12,14,18,17
9,103,101,104,108,15,13,16,20
10,107,109,106,102,19,21,18,14
11,104,105,110,108,16,17,22,20
12,106,109,110,105,18,21,22,17
13,111,116,115,112,23,28,27,24
14,111,113,117,116,23,25,29,28
15,114,112,115,119,26,24,27,31
16,118,120,117,113,30,32,29,25
17,115,116,121,119,27,28,33,31
18,117,120,121,116,29,32,33,28
19,122,127,126,123,34,39,38,35
20,122,124,128,127,34,36,40,39
21,125,123,126,130,37,35,38,42
22,129,131,128,124,41,43,40,36
23,126,127,132,130,38,39,44,42
24,128,131,132,127,40,43,44,39
25,133,138,137,134,45,50,49,46
26,133,135,139,138,45,47,51,50
27,136,134,137,141,48,46,49,53
28,140,142,139,135,52,54,51,47
29,137,138,143,141,49,50,55,53
30,139,142,143,138,51,54,55,50
31,144,149,148,145,56,61,60,57
32,144,146,150,149,56,58,62,61
33,147,145,148,152,59,57,60,64
34,151,153,150,146,63,65,62,58
35,148,149,154,152,60,61,66,64
36,150,153,154,149,62,65,66,61
37,155,160,159,156,67,72,71,68
38,155,157,161,160,67,69,73,72
39,158,156,159,163,70,68,71,75
40,162,164,161,157,74,76,73,69
41,159,160,165,163,71,72,77,75
42,161,164,165,160,73,76,77,72
43,166,171,170,167,78,83,82,79
44,166,168,172,171,78,80,84,83
45,169,167,170,174,81,79,82,86
46,173,175,172,168,85,87,84,80
47,170,171,176,174,82,83,88,86
48,172,175,176,171,84,87,88,83
49,177,182,181,178,89,94,93,90
50,177,179,183,182,89,91,95,94
51,180,178,181,185,92,90,93,97
52,184,186,183,179,96,98,95,91
53,181,182,187,185,93,94,99,97
54,183,186,187,182,95,98,99,94
55,188,193,192,189,100,105,104,101
56,188,190,194,193,100,102,106,105
57,191,189,192,196,103,101,104,108
58,195,197,194,190,107,109,106,102
59,192,193,198,196,104,105,110,108
60,194,197,198,193,106,109,110,105
61,199,204,203,200,111,116,115,112
62,199,201,205,204,111,113,117,116
63,202,200,203,207,114,112,115,119
64,206,208,205,201,118,120,117,113
65,203,204,209,207,115,116,121,119
66,205,208,209,204,117,120,121,116
67,210,215,214,211,122,127,126,123
68,210,212,216,215,122,124,128,127
69,213,211,214,218,125,123,126,130
70,217,219,216,212,129,131,128,124
71,214,215,220,218,126,127,132,130
72,216,219,220,215,128,131,132,127
73,221,226,225,222,133,138,137,134
74,221,223,227,226,133,135,139,138
75,224,222,225,229,136,134,137,141
76,228,230,227,223,140,142,139,135
77,225,226,231,229,137,138,143,141
78,227,230,231,226,139,142,143,138
79,232,237,236,233,144,149,148,145
80,232,234,238,237,144,146,150,149
81,235,233,236,240,147,145,148,152
82,239,241,238,234,151,153,150,146
83,236,237,242,240,148,149,154,152
84,238,241,242,237,150,153,154,149
85,243,248,247,244,155,160,159,156
86,243,245,249,248,155,157,161,160
87,246,244,247,251,158,156,159,163
88,250,252,249,245,162,164,161,157
89,247,248,253,251,159,160,165,163
90,249,252,253,248,161,164,165,160
91,254,259,258,255,166,171,170,167
92,254,256,260,259,166,168,172,171
93,257,255,258,262,169,167,170,174
94,261,263,260,256,173,175,172,168
95,258,259,264,262,170,171,176,174
96,260,263,264,259,172,175,176,171
97,265,270,269,266,177,182,181,178
98,265,267,271,270,177,179,183,182
99,268,266,269,273,180,178,181,185
100,272,274,271,267,184,186,183,179
101,269,270,275,273,181,182,187,185
102,271,274,275,270,183,186,187,182
103,276,281,280,277,188,193,192,189
104,276,278,282,281,188,190,194,193
105,279,277,280,284,191,189,192,196
106,283,285,282,278,195,197,194,190
107,280,281,286,284,192,193,198,196
108,282,285,286,281,194,197,198,193
109,287,292,291,288,199,204,203,200
110,287,289,293,292,199,201,205,204
111,290,288,291,295,202,200,203,207
112,294,296,293,289,206,208,205,201
113,291,292,297,295,203,204,209,207
114,293,296,297,292,205,208,209,204
115,298,303,302,299,210,215,214,211
116,298,300,304,303,210,212,216,215
117,301,299,302,306,213,211,214,218
118,305,307,304,300,217,219,216,212
119,302,303,308,306,214,215,220,218
120,304,307,308,303,216,219,220,215
121,309,314,313,310,221,226,225,222
122,309,311,315,314,221,223,227,226
123,312,310,313,317,224,222,225,229
124,316,318,315,311,228,230,227,223
125,313,314,319,317,225,226,231,229
126,315,318,319,314,227,230,231,226
127,320,325,324,321,232,237,236,233
128,320,322,326,325,232,234,238,237
129,323,321,324,328,235,233,236,240
130,327,329,326,322,239,241,238,234
131,324,325,330,328,236,237,242,240
132,326,329,330,325,238,241,242,237
133,331,336,335,332,243,248,247,244
134,331,333,337,336,243,245,249,248
135,334,332,335,339,246,244,247,251
136,338,340,337,333,250,252,249,245
137,335,336,341,339,247,248,253,251
138,337,340,341,336,249,252,253,248
139,342,347,346,343,254,259,258,255
140,342,344,348,347,254,256,260,259
141,345,343,346,350,257,255,258,262
142,349,351,348,344,261,263,260,256
143,346,347,352,350,258,259,264,262
144,348,351,352,347,260,263,264,259
145,353,358,357,354,265,270,269,266
146,353,355,359,358,265,267,271,270
147,356,354,357,361,268,266,269,273
148,360,362,359,355,272,274,271,267
149,357,358,363,361,269,270,275,273
150,359,362,363,358,271,274,275,270
151,364,369,368,365,276,281,280,277
152,364,366,370,369,276,278,282,281
153,367,365,368,372,279,277,280,284
