"ID","X-Def","Y-Def","Z-Def"
1,1.6,2.,0.
2,1.717157,1.717157,1.776357E-15
3,1.717157,2.282843,-8.881784E-15
4,2.,1.6,0.
5,2.,1.811438,5.329071E-15
6,2.,2.,0.
7,2.,2.188562,-7.105427E-15
8,2.,2.4,5.329071E-15
9,2.282843,1.717157,1.776357E-15
10,2.282843,2.282843,-8.881784E-15
11,2.4,2.,0.
12,5.6,2.,0.
13,5.717157,1.717157,1.776357E-15
14,5.717157,2.282843,-8.881784E-15
15,6.,1.6,0.
16,6.,1.811438,5.329071E-15
17,6.,2.,0.
18,6.,2.188562,-7.105427E-15
19,6.,2.4,5.329071E-15
20,6.282843,1.717157,1.776357E-15
21,6.282843,2.282843,-8.881784E-15
22,6.4,2.,0.
23,9.6,2.,0.
24,9.717157,1.717157,1.776357E-15
25,9.717157,2.282843,0.
26,10.,1.6,0.
27,10.,1.811438,-4.440892E-15
28,10.,2.,0.
29,10.,2.188562,2.664535E-15
30,10.,2.4,5.329071E-15
31,10.28284,1.717157,1.776357E-15
32,10.28284,2.282843,0.
33,10.4,2.,0.
34,13.6,2.,0.
35,13.71716,1.717157,1.776357E-15
36,13.71716,2.282843,0.
37,14.,1.6,0.
38,14.,1.811438,-4.440892E-15
39,14.,2.,0.
40,14.,2.188562,2.664535E-15
41,14.,2.4,5.329071E-15
42,14.28284,1.717157,1.776357E-15
43,14.28284,2.282843,0.
44,14.4,2.,0.
45,17.6,2.,-5.329071E-15
46,17.71716,1.717157,1.776357E-15
47,17.71716,2.282843,0.
48,18.,1.6,0.
49,18.,1.811438,5.329071E-15
50,18.,2.,0.
51,18.,2.188562,-7.105427E-15
52,18.,2.4,0.
53,18.28284,1.717157,1.776357E-15
54,18.28284,2.282843,0.
55,18.4,2.,0.
56,21.6,2.,0.
57,21.71716,1.717157,1.776357E-15
58,21.71716,2.282843,0.
59,22.,1.6,0.
60,22.,1.811438,0.
61,22.,2.,0.
62,22.,2.188562,-1.776357E-15
63,22.,2.4,0.
64,22.28284,1.717157,1.776357E-15
65,22.28284,2.282843,0.
66,22.4,2.,0.
67,25.6,2.,0.
68,25.71716,1.717157,0.
69,25.71716,2.282843,-1.776357E-15
70,26.,1.6,0.
71,26.,1.811438,-1.776357E-15
72,26.,2.,0.
73,26.,2.188562,0.
74,26.,2.4,0.
75,26.28284,1.717157,0.
76,26.28284,2.282843,-1.776357E-15
77,26.4,2.,0.
78,29.6,2.,0.
79,29.71716,1.717157,0.
80,29.71716,2.282843,0.
81,30.,1.6,0.
82,30.,1.811438,0.
83,30.,2.,0.
84,30.,2.188562,0.
85,30.,2.4,0.
86,30.28284,1.717157,0.
87,30.28284,2.282843,0.
88,30.4,2.,0.
89,1.6,2.,0.4
90,1.717157,1.717157,0.4
91,1.717157,2.282843,0.4
92,2.,1.6,0.4
93,2.,1.811438,0.4
94,2.,2.,0.4
95,2.,2.188562,0.4
96,2.,2.4,0.4
97,2.282843,1.717157,0.4
98,2.282843,2.282843,0.4
99,2.4,2.,0.4
100,5.6,2.,0.4
101,5.717157,1.717157,0.4
102,5.717157,2.282843,0.4
103,6.,1.6,0.4
104,6.,1.811438,0.4
105,6.,2.,0.4
106,6.,2.188562,0.4
107,6.,2.4,0.4
108,6.282843,1.717157,0.4
109,6.282843,2.282843,0.4
110,6.4,2.,0.4
111,9.6,2.,0.4
112,9.717157,1.717157,0.4
113,9.717157,2.282843,0.4
114,10.,1.6,0.4
115,10.,1.811438,0.4
116,10.,2.,0.4
117,10.,2.188562,0.4
118,10.,2.4,0.4
119,10.28284,1.717157,0.4
120,10.28284,2.282843,0.4
121,10.4,2.,0.4
122,13.6,2.,0.4
123,13.71716,1.717157,0.4
124,13.71716,2.282843,0.4
125,14.,1.6,0.4
126,14.,1.811438,0.4
127,14.,2.,0.4
128,14.,2.188562,0.4
129,14.,2.4,0.4
130,14.28284,1.717157,0.4
131,14.28284,2.282843,0.4
132,14.4,2.,0.4
133,17.6,2.,0.4
134,17.71716,1.717157,0.4
135,17.71716,2.282843,0.4
136,18.,1.6,0.4
137,18.,1.811438,0.4
138,18.,2.,0.4
139,18.,2.188562,0.4
140,18.,2.4,0.4
141,18.28284,1.717157,0.4
142,18.28284,2.282843,0.4
143,18.4,2.,0.4
144,21.6,2.,0.4
145,21.71716,1.717157,0.4
146,21.71716,2.282843,0.4
147,22.,1.6,0.4
148,22.,1.811438,0.4
149,22.,2.,0.4
150,22.,2.188562,0.4
151,22.,2.4,0.4
152,22.28284,1.717157,0.4
153,22.28284,2.282843,0.4
154,22.4,2.,0.4
155,25.6,2.,0.4
156,25.71716,1.717157,0.4
157,25.71716,2.282843,0.4
158,26.,1.6,0.4
159,26.,1.811438,0.4
160,26.,2.,0.4
161,26.,2.188562,0.4
162,26.,2.4,0.4
163,26.28284,1.717157,0.4
164,26.28284,2.282843,0.4
165,26.4,2.,0.4
166,29.6,2.,0.4
167,29.71716,1.717157,0.4
168,29.71716,2.282843,0.4
169,30.,1.6,0.4
170,30.,1.811438,0.4
171,30.,2.,0.4
172,30.,2.188562,0.4
